,gamma,c_clip,eps_iter,eps,sigma_cdp,sigma_cor,loss_cdp,loss_cor
0,0.004,1,0.01320135465066633,50.0,-1.0,-1.0,10.0,10.0
1,0.004,1,0.013468520988572489,50.70478911496278,2.197949559467835,35.0,4.0936052585951634e-05,0.10974093674628776
2,0.004,1,0.013591227641567604,51.02748024304371,2.6375394713614018,28.0,0.00011472871766340723,0.06890871490234157
3,0.004,1,0.013464171517035337,50.693339410393676,2.857334427308185,26.0,0.00021759101933694163,0.0535304916000168
4,0.004,1,0.013520444405430525,50.8414128712522,3.0771293832549684,24.0,5.400262677827693e-05,0.04322570943013547
5,0.004,1,0.013750309124085335,51.44490080615612,3.296924339201752,22.0,0.0001550898226985233,0.03905427559693646
6,0.004,1,0.013323625946289493,50.32293180623434,3.7365142510953193,20.0,0.00012110308611049029,0.03805054063126415
7,0.004,1,0.013214596264674208,50.03500365556345,4.176104162988886,18.0,0.0003592116661829178,0.02848085981729827
8,0.004,1,0.01390468062375521,51.84897650176411,5.05528398677602,14.0,0.0008125577631598357,0.02696988197881281
9,0.004,1,0.013306671382787254,50.27819130248341,5.2750789427228035,14.0,0.0007732526820362014,0.029613036703877237
10,0.004,1,0.014185755116562348,52.58226262294721,5.71466885461637,12.0,0.000330568661463628,0.023322665791497926
