,clip,sigma,sigma-cor,eps-iter,eps,sigma-cdp,sigma-ldp
0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,3.0,0.008877551020408164,0.03881763527054108,17421.46112397178,1.3563352107904139,0.0020089724533771357,0.03214355925403417
2,3.0,0.008979591836734694,0.03881763527054108,17097.580845514607,1.2413808605071146,0.002027911214544799,0.03244657943271678
3,3.0,0.009081632653061226,0.03881763527054108,16784.499304880257,1.135138051827424,0.002046737160549934,0.03274779456879894
4,3.0,0.009183673469387754,0.03881763527054108,16481.73867575735,1.0372394363244022,0.0020654503414362295,0.03304720546297967
5,3.0,0.009285714285714286,0.03313627254509018,17327.408322099433,1.3224443739388199,0.002014417404367379,0.032230678469878066
6,3.0,0.009387755102040818,0.03313627254509018,17042.806501833453,1.2224383226704578,0.002031167380135224,0.032498678082163585
7,3.0,0.009489795918367346,0.03313627254509018,16767.231629038768,1.1294240202327148,0.0020477908019611865,0.032764652831378985
8,3.0,0.009591836734693878,0.03313627254509018,16500.300721482654,1.0430999330472495,0.002064288248309072,0.033028611972945154
9,3.0,0.009693877551020408,0.03034068136272545,17036.666783605673,1.220324265239756,0.0020315333458544547,0.032504533533671276
10,3.0,0.009795918367346938,0.03034068136272545,16784.90228621104,1.135271587346648,0.0020467125907966737,0.03274740145274678
11,3.0,0.00989795918367347,0.027545090180360724,17573.404085081198,1.4119342903202288,0.002000268621712798,0.03200429794740477
12,3.0,0.01,0.027545090180360724,17334.875075646556,1.3251199837400647,0.002013983516661972,0.03222373626659155
