,topology,lr,clip,T,loss,sigma,sigma_cor
31,centralized,0.1,0.01,1000,0.2553369048883196,0.359169449233382,0.0
6,centralized,0.01,0.1,500,0.2642498783406631,2.539711531479618,0.0
5,centralized,0.01,0.05,2000,0.2977777139545973,2.539711531479618,0.0
3,centralized,0.01,0.05,500,0.3096024894280341,1.269855765739809,0.0
30,centralized,0.1,0.01,500,0.3299092582418331,0.2539711531479618,0.0
16,centralized,0.05,0.01,1000,0.3316238371981118,0.359169449233382,0.0
45,centralized,0.5,0.01,500,0.3358497359205582,0.2539711531479618,0.0
1,centralized,0.01,0.01,1000,0.3430353975405392,0.359169449233382,0.0
15,centralized,0.05,0.01,500,0.3434337520076381,0.2539711531479618,0.0
8,centralized,0.01,0.1,2000,0.3456566485344582,5.079423062959236,0.0
2,centralized,0.01,0.01,2000,0.3517224942273688,0.5079423062959236,0.0
19,centralized,0.05,0.05,1000,0.3679388129114923,1.7958472461669102,0.0
0,centralized,0.01,0.01,500,0.3973831456062404,0.2539711531479618,0.0
18,centralized,0.05,0.05,500,0.4019251704835724,1.269855765739809,0.0
17,centralized,0.05,0.01,2000,0.403861018909625,0.5079423062959236,0.0
4,centralized,0.01,0.05,1000,0.4155084526749613,1.7958472461669102,0.0
9,centralized,0.01,0.5,500,0.4239630124735561,12.69855765739809,0.0
7,centralized,0.01,0.1,1000,0.4527816941178304,3.5916944923338203,0.0
33,centralized,0.1,0.05,500,0.4831845096385027,1.269855765739809,0.0
21,centralized,0.05,0.1,500,0.5687291504476647,2.539711531479618,0.0
32,centralized,0.1,0.01,2000,0.7041376414680826,0.5079423062959236,0.0
34,centralized,0.1,0.05,1000,0.7166743259952283,1.7958472461669102,0.0
10,centralized,0.01,0.5,1000,0.7816480405308163,17.9584724616691,0.0
20,centralized,0.05,0.05,2000,0.799875355846755,2.539711531479618,0.0
36,centralized,0.1,0.1,500,0.8348872511243423,2.539711531479618,0.0
22,centralized,0.05,0.1,1000,0.9253918169947132,3.5916944923338203,0.0
46,centralized,0.5,0.01,1000,0.9272052113720188,0.359169449233382,0.0
12,centralized,0.01,1.0,500,1.1756524463864273,25.39711531479618,0.0
35,centralized,0.1,0.05,2000,1.3071034172880889,2.539711531479618,0.0
11,centralized,0.01,0.5,2000,1.653843833279717,25.39711531479618,0.0
23,centralized,0.05,0.1,2000,2.0893544078812685,5.079423062959236,0.0
47,centralized,0.5,0.01,2000,2.421473793574898,0.5079423062959236,0.0
37,centralized,0.1,0.1,1000,2.7964732325529784,3.5916944923338203,0.0
13,centralized,0.01,1.0,1000,2.821144037992321,35.9169449233382,0.0
14,centralized,0.01,1.0,2000,4.59862283720182,50.79423062959236,0.0
24,centralized,0.05,0.5,500,6.179683790103383,12.69855765739809,0.0
49,centralized,0.5,0.05,1000,6.999808101361083,1.7958472461669102,0.0
48,centralized,0.5,0.05,500,10.376407479337953,1.269855765739809,0.0
38,centralized,0.1,0.1,2000,10.960290537773687,5.079423062959236,0.0
27,centralized,0.05,1.0,500,11.291834690876916,25.39711531479618,0.0
25,centralized,0.05,0.5,1000,13.362656871096704,17.9584724616691,0.0
40,centralized,0.1,0.5,1000,13.536174354798542,17.9584724616691,0.0
51,centralized,0.5,0.1,500,14.839823932051845,2.539711531479618,0.0
52,centralized,0.5,0.1,1000,19.093774448451462,3.5916944923338203,0.0
39,centralized,0.1,0.5,500,20.758324946572724,12.69855765739809,0.0
53,centralized,0.5,0.1,2000,22.57101104688942,5.079423062959236,0.0
26,centralized,0.05,0.5,2000,24.45705676889673,25.39711531479618,0.0
41,centralized,0.1,0.5,2000,28.23664524293175,25.39711531479618,0.0
29,centralized,0.05,1.0,2000,30.39838484548784,50.79423062959236,0.0
57,centralized,0.5,1.0,500,31.958759080087496,25.39711531479618,0.0
43,centralized,0.1,1.0,1000,33.42165724752266,35.9169449233382,0.0
56,centralized,0.5,0.5,2000,36.28045986393119,25.39711531479618,0.0
50,centralized,0.5,0.05,2000,37.35601711276238,2.539711531479618,0.0
42,centralized,0.1,1.0,500,37.70610102065349,25.39711531479618,0.0
54,centralized,0.5,0.5,500,49.23605783848702,12.69855765739809,0.0
58,centralized,0.5,1.0,1000,52.596380398346255,35.9169449233382,0.0
59,centralized,0.5,1.0,2000,54.07206042472991,50.79423062959236,0.0
44,centralized,0.1,1.0,2000,56.20087742260541,50.79423062959236,0.0
28,centralized,0.05,1.0,1000,61.149746435203085,35.9169449233382,0.0
55,centralized,0.5,0.5,1000,63.32085447923025,17.9584724616691,0.0
