,topology,lr,clip,sigma,sigma-cor,T,accuracy
0,grid,0.05,0.1,0.0010998174679018528,0,1000,0.6661
1,grid,0.05,1.0,0.01099817467901853,0,1000,0.8665
2,grid,0.05,10.0,0.10998174679018528,0,1000,0.9064
3,grid,0.1,0.1,0.0010998174679018528,0,1000,0.709
4,grid,0.1,1.0,0.01099817467901853,0,1000,0.8894
5,grid,0.1,10.0,0.10998174679018528,0,1000,0.9029
6,grid,0.5,0.1,0.0010998174679018528,0,1000,0.8536
7,grid,0.5,1.0,0.01099817467901853,0,1000,0.9063
8,grid,0.5,10.0,0.10998174679018528,0,1000,0.8531
9,grid,1.0,0.1,0.0010998174679018528,0,1000,0.8842
10,grid,1.0,1.0,0.01099817467901853,0,1000,0.906
11,grid,1.0,10.0,0.10998174679018528,0,1000,0.8431
12,grid,5.0,0.1,0.0010998174679018528,0,1000,0.9062
13,grid,5.0,1.0,0.01099817467901853,0,1000,0.8586
14,grid,5.0,10.0,0.10998174679018528,0,1000,0.8366
