Step,topology,method,lr,clip,sigma,sigma_cor,epsilon,accuracy
-1,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.0
0,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.107125
5,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.0896
10,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.0966
15,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.0878
20,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.0945
25,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.0974
30,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.1334
35,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.1574
40,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.1534
45,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.162
50,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.17
55,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2042
60,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.215
65,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2125
70,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2254
75,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2171
80,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2189
85,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2153
90,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.1864
95,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.1722
100,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.1802
105,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2194
110,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.1957
115,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2079
120,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2246
125,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2208
130,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2009
135,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.1915
140,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.1919
145,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.1944
150,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.1972
155,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2088
160,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2121
165,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.213
170,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2113
175,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2055
180,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2199
185,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.223
190,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2542
195,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2624
200,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2663
205,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2547
210,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2756
215,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2643
220,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2756
225,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.266
230,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2645
235,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2567
240,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.277
245,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.26
250,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2499
255,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2615
260,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2835
265,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2643
270,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2728
275,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2793
280,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2782
285,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2806
290,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2828
295,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.3072
300,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.304
305,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.3045
310,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2963
315,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2779
320,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2649
325,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2776
330,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2689
335,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.273
340,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2905
345,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2928
350,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2843
355,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2642
360,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2426
365,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2422
370,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2173
375,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2279
380,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2249
385,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2399
390,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2411
395,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2377
400,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2407
405,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2415
410,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2301
415,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2281
420,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.239
425,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2474
430,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2498
435,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2369
440,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2731
445,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2935
450,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2796
455,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2844
460,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2958
465,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2834
470,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2665
475,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.265
480,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2653
485,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2622
490,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.246
495,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2453
500,centralized,cdp,0.1,3.0,7.776137775633739,0,30,0.2585
